Label	Distribution	CapacityMean	CapacityStd	OpeningCostMean	OpeningCostStd	OMCostMean	OMCostStd	WellCapacityMean	WellCapacityStd	WellOpeningCostMean	WellOpeningCostStd	WellOMCostMean	WellOMCostStd	InjectionCostMean	InjectionCostStd
1	Normal	88.490	22.123	0.000	0.000	0.000	0.000	88.493	22.123	0.000	0.000	0.000	0.000	-6.720	3.360
2	Normal	22.400	5.600	0.000	0.000	0.000	0.000	22.399	5.600	0.000	0.000	0.000	0.000	4.250	2.125
3	Normal	11.130	2.783	0.000	0.000	0.000	0.000	11.135	2.784	0.000	0.000	0.000	0.000	14.890	7.445
4	Normal	9.880	2.470	0.000	0.000	0.000	0.000	9.883	2.471	0.000	0.000	0.000	0.000	-8.600	4.300
5	Normal	7.590	1.898	0.000	0.000	0.000	0.000	7.585	1.896	0.000	0.000	0.000	0.000	0.860	0.430
6	Normal	5.630	1.408	0.000	0.000	0.000	0.000	5.634	1.409	0.000	0.000	0.000	0.000	5.690	2.845
7	Normal	6.420	1.605	0.000	0.000	0.000	0.000	6.419	1.605	0.000	0.000	0.000	0.000	-5.020	2.510
8	Normal	4.460	1.115	0.000	0.000	0.000	0.000	4.460	1.115	0.000	0.000	0.000	0.000	0.710	0.355
9	Normal	3.370	0.843	0.000	0.000	0.000	0.000	3.368	0.842	0.000	0.000	0.000	0.000	-1.320	0.660
10	Normal	3.850	0.963	0.000	0.000	0.000	0.000	3.846	0.962	0.000	0.000	0.000	0.000	-15.900	7.950
11	Normal	3.000	0.750	0.000	0.000	0.000	0.000	3.003	0.751	0.000	0.000	0.000	0.000	0.690	0.345
12	Normal	2.580	0.645	0.000	0.000	0.000	0.000	2.577	0.644	0.000	0.000	0.000	0.000	9.360	4.680
13	Normal	2.830	0.708	0.000	0.000	0.000	0.000	2.833	0.708	0.000	0.000	0.000	0.000	2.900	1.450
14	Normal	1.950	0.488	0.000	0.000	0.000	0.000	1.954	0.489	0.000	0.000	0.000	0.000	-5.040	2.520
15	Normal	2.180	0.545	0.000	0.000	0.000	0.000	2.178	0.545	0.000	0.000	0.000	0.000	-3.900	1.950
16	Normal	1.600	0.400	0.000	0.000	0.000	0.000	1.602	0.401	0.000	0.000	0.000	0.000	-14.730	7.365
17	Normal	1.330	0.333	0.000	0.000	0.000	0.000	1.327	0.332	0.000	0.000	0.000	0.000	-15.730	7.865
18	Normal	1.460	0.365	0.000	0.000	0.000	0.000	1.461	0.365	0.000	0.000	0.000	0.000	-29.680	14.840
19	Normal	1.160	0.290	0.000	0.000	0.000	0.000	1.157	0.289	0.000	0.000	0.000	0.000	-12.820	6.410
20	Normal	1.440	0.360	0.000	0.000	0.000	0.000	1.439	0.360	0.000	0.000	0.000	0.000	-13.160	6.580
21	Normal	1.270	0.318	0.000	0.000	0.000	0.000	1.272	0.318	0.000	0.000	0.000	0.000	0.150	0.075
22	Normal	0.950	0.238	0.000	0.000	0.000	0.000	0.945	0.236	0.000	0.000	0.000	0.000	8.680	4.340
23	Normal	0.940	0.235	0.000	0.000	0.000	0.000	0.943	0.236	0.000	0.000	0.000	0.000	14.790	7.395
24	Normal	1.150	0.288	0.000	0.000	0.000	0.000	1.150	0.288	0.000	0.000	0.000	0.000	-11.300	5.650
25	Normal	0.980	0.245	0.000	0.000	0.000	0.000	0.976	0.244	0.000	0.000	0.000	0.000	-9.490	4.745
26	Normal	0.950	0.238	0.000	0.000	0.000	0.000	0.951	0.238	0.000	0.000	0.000	0.000	-13.280	6.640
27	Normal	0.590	0.148	0.000	0.000	0.000	0.000	0.594	0.149	0.000	0.000	0.000	0.000	19.890	9.945
28	Normal	0.760	0.190	0.000	0.000	0.000	0.000	0.759	0.190	0.000	0.000	0.000	0.000	-18.190	9.095
29	Normal	0.580	0.145	0.000	0.000	0.000	0.000	0.584	0.146	0.000	0.000	0.000	0.000	8.630	4.315
30	Normal	0.490	0.123	0.000	0.000	0.000	0.000	0.495	0.124	0.000	0.000	0.000	0.000	6.470	3.235
31	Normal	0.320	0.080	0.000	0.000	0.000	0.000	0.318	0.080	0.000	0.000	0.000	0.000	-5.940	2.970
32	Normal	0.380	0.095	0.000	0.000	0.000	0.000	0.379	0.095	0.000	0.000	0.000	0.000	-4.100	2.050
33	Normal	0.310	0.078	0.000	0.000	0.000	0.000	0.305	0.076	0.000	0.000	0.000	0.000	-37.690	18.845
34	Normal	0.280	0.070	0.000	0.000	0.000	0.000	0.283	0.071	0.000	0.000	0.000	0.000	6.640	3.320
35	Normal	0.270	0.068	0.000	0.000	0.000	0.000	0.267	0.067	0.000	0.000	0.000	0.000	15.650	7.825
36	Normal	0.270	0.068	0.000	0.000	0.000	0.000	0.272	0.068	0.000	0.000	0.000	0.000	-12.910	6.455
37	Normal	0.220	0.055	0.000	0.000	0.000	0.000	0.215	0.054	0.000	0.000	0.000	0.000	0.770	0.385
38	Normal	0.180	0.045	0.000	0.000	0.000	0.000	0.177	0.044	0.000	0.000	0.000	0.000	12.560	6.280
39	Normal	0.170	0.043	0.000	0.000	0.000	0.000	0.169	0.042	0.000	0.000	0.000	0.000	6.730	3.365
40	Normal	0.150	0.038	0.000	0.000	0.000	0.000	0.154	0.039	0.000	0.000	0.000	0.000	2.730	1.365
41	Normal	0.110	0.028	0.000	0.000	0.000	0.000	0.108	0.027	0.000	0.000	0.000	0.000	9.400	4.700
42	Normal	0.090	0.023	0.000	0.000	0.000	0.000	0.095	0.024	0.000	0.000	0.000	0.000	11.330	5.665
